epoch,lr,train_loss
0.0,0.0005,4.492206755138579
1.0,0.0005,4.36212682723999
2.0,0.0005,4.153062025705974
3.0,0.0005,3.7220072632744197
4.0,0.0005,3.2723759469531832
5.0,0.0005,2.753246716090611
6.0,0.0005,2.344147977374849
7.0,0.0005,1.9304974533262707
8.0,0.0005,1.620629866917928
9.0,0.0005,1.4271426314399356
10.0,0.0005,1.1517030057452975
11.0,0.0005,0.973971270379566
12.0,0.0005,0.8618172634215582
13.0,0.0005,0.7881647660618737
14.0,0.0005,0.7260659081595284
15.0,0.0005,0.6640177511033558
16.0,0.0005,0.6322670380274454
17.0,0.0005,0.6396646953764415
18.0,0.0005,0.6170258777482169
19.0,0.0005,0.5611995004472279
20.0,0.0005,0.5274379650751749
21.0,0.0005,0.494214939219611
22.0,0.0005,0.4675880911804381
23.0,0.0005,0.4491746297904423
24.0,0.0005,0.4389596822715941
25.0,0.0005,0.43259842197100323
26.0,0.0005,0.4164986922627404
27.0,0.0005,0.4050524546986535
28.0,0.0005,0.3876148590019771
29.0,0.0005,0.3782855655465807
30.0,0.0005,0.36811257685933796
31.0,0.0005,0.35600712043898447
32.0,0.0005,0.348164507320949
33.0,0.0005,0.3398587575980595
34.0,0.0005,0.33727291226387024
35.0,0.0005,0.3325290410291581
36.0,0.0005,0.33256345703488305
37.0,0.0005,0.3295922250974746
38.0,0.0005,0.32826086169197444
39.0,0.0005,0.32278152732622056
40.0,0.0005,0.31871036546570913
41.0,0.0005,0.3083315732933226
42.0,0.0005,0.3017102295444125
43.0,0.0005,0.2928358316421509
44.0,0.0005,0.2832551584357307
45.0,0.0005,0.2763476776225226
46.0,0.0005,0.2740711200804937
47.0,0.0005,0.29391478143987204
48.0,0.0005,0.2772260003146671
49.0,0.0005,0.2742549017781303
50.0,0.0005,0.26044048297972905
51.0,0.0005,0.25247696893555777
52.0,0.0005,0.2421029806137085
53.0,0.0005,0.2418247986407507
54.0,0.0005,0.23245455395607723
55.0,0.0005,0.22871958854652585
56.0,0.0005,0.23550790832156226
57.0,0.0005,0.23415872880390712
58.0,0.0005,0.22898837143466585
59.0,0.0005,0.22475035275731767
60.0,0.0005,0.2229513284705934
61.0,0.0005,0.22110373065585182
62.0,0.0005,0.2197194014276777
63.0,0.0005,0.20811909650053298
64.0,0.0005,0.20910374891190303
65.0,0.0005,0.2068965250537509
66.0,0.0005,0.1999561424766268
67.0,0.0005,0.20173491608528865
68.0,0.0005,0.1954552921510878
69.0,0.0005,0.19577422383285703
70.0,0.0005,0.19214879473050436
71.0,0.0005,0.19185263769967215
72.0,0.0005,0.19259738070624216
73.0,0.0005,0.18955513054416293
74.0,0.0005,0.19751200789497012
75.0,0.0005,0.18861126686845506
76.0,0.0005,0.18485577333541142
77.0,0.0005,0.18247841369538081
78.0,0.0005,0.1799006944610959
79.0,0.0005,0.18263958962190718
80.0,0.0005,0.17780969753151848
81.0,0.0005,0.18003836912768229
82.0,0.0005,0.17317382920356023
83.0,0.0005,0.17063883798463003
84.0,0.0005,0.1686385834500903
85.0,0.0005,0.16719420821893782
86.0,0.0005,0.1595663641180311
87.0,0.0005,0.15876732057049162
88.0,0.0005,0.15626381408600581
89.0,0.0005,0.15295311028049105
90.0,0.0005,0.15698358984220595
91.0,0.0005,0.15410089847587405
92.0,0.0005,0.15684919272150313
93.0,0.0005,0.1530702823684329
94.0,0.0005,0.14503321619260878
95.0,0.0005,0.14596023091248103
96.0,0.0005,0.14609002002647944
97.0,0.0005,0.14900847595362438
98.0,0.0005,0.14713976070994422
99.0,0.0005,0.15109618575800032
