epoch,lr,train_loss
0.0,0.0005,4.485469000680106
1.0,0.0005,4.401759647187733
2.0,0.0005,4.250497556868053
3.0,0.0005,3.963230008170718
4.0,0.0005,3.5776225952875045
5.0,0.0005,3.1892320087977817
6.0,0.0005,2.8829024519239153
7.0,0.0005,2.5237700087683543
8.0,0.0005,2.2059507483527776
9.0,0.0005,2.111441311382112
10.0,0.0005,2.079272128286816
11.0,0.0005,1.688133058093843
12.0,0.0005,1.4143995671045213
13.0,0.0005,1.2790528989973522
14.0,0.0005,1.1365436003321694
15.0,0.0005,1.0353436015901112
16.0,0.0005,1.0062893827756245
17.0,0.0005,0.8775459215754554
18.0,0.0005,0.8382242492267064
19.0,0.0005,0.7571118360473996
20.0,0.0005,0.7361865554537091
21.0,0.0005,0.6871317114148822
22.0,0.0005,0.6514198127247038
23.0,0.0005,0.6201174713316417
24.0,0.0005,0.5847541079634712
25.0,0.0005,0.5440945483389354
26.0,0.0005,0.5229794723646981
27.0,0.0005,0.517184914577575
28.0,0.0005,0.5098760851791927
29.0,0.0005,0.5310099848679134
30.0,0.0005,0.5047171868029094
31.0,0.0005,0.45911443659237455
32.0,0.0005,0.42689840424628483
33.0,0.0005,0.403305763290042
34.0,0.0005,0.39720521796317326
35.0,0.0005,0.38635399228050593
36.0,0.0005,0.3810472928342365
37.0,0.0005,0.37557472359566463
38.0,0.0005,0.3812307247093746
39.0,0.0005,0.36546888379823594
40.0,0.0005,0.35004769620441256
41.0,0.0005,0.33879742877823965
42.0,0.0005,0.33468136759031386
43.0,0.0005,0.3215234378973643
44.0,0.0005,0.32215581905274165
45.0,0.0005,0.3149171741235824
46.0,0.0005,0.31252691575459074
47.0,0.0005,0.3196456176894052
48.0,0.0005,0.3183134070464543
49.0,0.0005,0.3248607757545653
50.0,0.0005,0.3221111950420198
51.0,0.0005,0.3149468260151999
52.0,0.0005,0.3069613292103722
53.0,0.0005,0.3000306366454987
54.0,0.0005,0.2859443042959486
55.0,0.0005,0.27204458770297824
56.0,0.0005,0.26372041021074566
57.0,0.0005,0.25652866065502167
58.0,0.0005,0.2586107445614679
59.0,0.0005,0.25686193505922955
60.0,0.0005,0.2501758833726247
61.0,0.0005,0.2508719492526281
62.0,0.0005,0.2524787208863667
63.0,0.0005,0.27469793600695475
64.0,0.0005,0.27168160464082447
65.0,0.0005,0.2733039245719001
66.0,0.0005,0.25920472897234414
67.0,0.0005,0.24382040188426063
68.0,0.0005,0.2397527950150626
69.0,0.0005,0.22873151373295558
70.0,0.0005,0.21771515196277982
71.0,0.0005,0.21480443435055868
72.0,0.0005,0.20553520960467203
73.0,0.0005,0.2068015713067282
74.0,0.0005,0.19618638214610873
75.0,0.0005,0.19147436107907975
76.0,0.0005,0.18719241732642763
77.0,0.0005,0.19399919183481307
78.0,0.0005,0.19208524624506632
79.0,0.0005,0.19159603686559767
80.0,0.0005,0.19261609017848969
81.0,0.0005,0.1871365677742731
82.0,0.0005,0.18359958770729246
83.0,0.0005,0.19050773268654234
84.0,0.0005,0.1967778986408597
85.0,0.0005,0.21963049258504594
86.0,0.0005,0.3197830936738423
87.0,0.0005,0.5572860978898548
88.0,0.0005,0.8655049829255967
89.0,0.0005,1.031484413714636
90.0,0.0005,0.7537988481067476
91.0,0.0005,0.5970553968633924
92.0,0.0005,0.4664084570748465
93.0,0.0005,0.3391503819397518
94.0,0.0005,0.26668592010225567
95.0,0.0005,0.23559118168694632
96.0,0.0005,0.21988244354724884
97.0,0.0005,0.20914993754455022
98.0,0.0005,0.20398782477492378
99.0,0.0005,0.19777930563404447
